solver,puzzle_id,status,solve_time,propagations
CVC5,sudoku_25x25_Extremely Easy_20241212_223529_puzzle,unsat,0.226729154586792,1231
CVC5,sudoku_25x25_Easy_20241212_223724_puzzle,sat,0.5398173332214355,1230
CVC5,sudoku_25x25_Difficult_20241212_225104_puzzle,sat,0.3547685146331787,1252
CVC5,sudoku_25x25_Difficult_20241212_225210_puzzle,unsat,0.19213294982910156,1208
CVC5,sudoku_25x25_Easy_20241212_223548_puzzle,unsat,0.19825267791748047,1320
CVC5,sudoku_25x25_Medium_20241212_224256_puzzle,unsat,0.21731901168823242,1184
CVC5,sudoku_25x25_Evil_20241212_230353_puzzle,unsat,0.21799230575561523,1319
CVC5,sudoku_25x25_Evil_20241212_225813_puzzle,unsat,0.21887898445129395,1245
CVC5,sudoku_25x25_Easy_20241212_223552_puzzle,unsat,0.20021343231201172,1323
CVC5,sudoku_25x25_Medium_20241212_224259_puzzle,unsat,0.22432756423950195,1248
CVC5,sudoku_25x25_Easy_20241212_224105_puzzle,unsat,0.20940208435058594,1208
CVC5,sudoku_25x25_Medium_20241212_224843_puzzle,sat,0.8058545589447021,1137
CVC5,sudoku_25x25_Easy_20241212_223933_puzzle,unsat,0.22115540504455566,1242
CVC5,sudoku_25x25_Medium_20241212_224534_puzzle,sat,0.38052916526794434,1240
CVC5,sudoku_25x25_Difficult_20241212_225013_puzzle,sat,0.3902866840362549,1251
CVC5,sudoku_25x25_Difficult_20241212_225109_puzzle,unsat,0.22661900520324707,1252
CVC5,sudoku_25x25_Evil_20241212_225807_puzzle,unsat,0.20265960693359375,1193
CVC5,sudoku_25x25_Medium_20241212_224238_puzzle,unsat,0.20158648490905762,1246
CVC5,sudoku_25x25_Evil_20241212_230319_puzzle,unsat,0.19902515411376953,1206
CVC5,sudoku_25x25_Extremely Easy_20241212_223331_puzzle,sat,0.2510414123535156,1303
CVC5,sudoku_25x25_Extremely Easy_20241212_223506_puzzle,sat,0.9186124801635742,1104
CVC5,sudoku_25x25_Easy_20241212_223757_puzzle,sat,0.594301700592041,1181
CVC5,sudoku_25x25_Medium_20241212_224845_puzzle,unsat,0.1980607509613037,1262
CVC5,sudoku_25x25_Easy_20241212_223940_puzzle,unsat,0.20741677284240723,1203
CVC5,sudoku_25x25_Easy_20241212_224009_puzzle,unsat,0.19326567649841309,1289
CVC5,sudoku_25x25_Extremely Easy_20241212_223333_puzzle,sat,0.5113527774810791,1211
CVC5,sudoku_25x25_Easy_20241212_223857_puzzle,sat,0.2532837390899658,1310
CVC5,sudoku_25x25_Evil_20241212_230439_puzzle,sat,1.1394553184509277,1079
CVC5,sudoku_25x25_Difficult_20241212_225019_puzzle,unsat,0.20707941055297852,1270
CVC5,sudoku_25x25_Easy_20241212_223930_puzzle,unsat,0.19626736640930176,1314
CVC5,sudoku_25x25_Evil_20241212_225928_puzzle,unsat,0.20198512077331543,1191
CVC5,sudoku_25x25_Extremely Easy_20241212_223455_puzzle,sat,0.9119853973388672,1134
DPLL,sudoku_25x25_Extremely Easy_20241212_223411_puzzle,sat,0.48486828804016113,190458
DPLL,sudoku_25x25_Easy_20241212_223635_puzzle,unsat,0.23894071578979492,190567
DPLL,sudoku_25x25_Easy_20241212_223654_puzzle,unsat,0.24446678161621094,190546
DPLL,sudoku_25x25_Difficult_20241212_225638_puzzle,unsat,14.541754961013794,190463
DPLL,sudoku_25x25_Difficult_20241212_225229_puzzle,sat,0.4374074935913086,190466
DPLL,sudoku_25x25_Difficult_20241212_225646_puzzle,unsat,0.22669029235839844,190620
DPLL,sudoku_25x25_Medium_20241212_224149_puzzle,sat,0.256894588470459,190482
DPLL,sudoku_25x25_Easy_20241212_224100_puzzle,unsat,0.29657697677612305,190418
DPLL,sudoku_25x25_Medium_20241212_224809_puzzle,unsat,0.22365140914916992,190546
DPLL,sudoku_25x25_Evil_20241212_225823_puzzle,sat,17.45876169204712,190394
DPLL,sudoku_25x25_Easy_20241212_224002_puzzle,unsat,0.5253934860229492,190501
